Controller,kp,ki,kd,OS%,t_settle,T_peak,e_ss,u_max,u_min,u_ss,J_u,IAE,ISE
PID,25.0,5.0,10.0,-0.20084137574054584,7.576894223555889,20.0,0.0024291628853942496,25.0,-0.10751264506375424,3.9905624280231984,323.7729358414932,0.7891328594357196,0.2793532036856149
PD,25.0,0.0,10.0,-13.793076327452503,,6.2465616404101025,0.1379310093010222,25.0,-0.3510403458936491,3.44827669306627,255.71756466431697,3.079661867619028,0.6418510591157712
P,25.0,0.0,0.0,54.41768612954989,,0.5851462865716429,0.13790079668168123,25.0,-13.604421532387473,3.44751991704203,538.1476747009625,3.3847610119648257,0.86103627952154
